<SIL> <SIL> SIL
<UNK> <UNK> SPN
<eps> <eps> SIL
E E r r o r W o r d
a11 a11 a11
a24 a24 a24
a31 a31 a31
a55 a55 a55
ab2 ab2 ab2
ad2 ad2 ad2
ag2 ag2 ag2
ai24 ai24 ai24
ai31 ai31 ai31
am24 am24 am24
am31 am31 am31
am55 am55 am55
an31 an31 an31
ang11 ang11 ang11
ang24 ang24 ang24
ang55 ang55 ang55
au24 au24 au24
au31 au31 au31
au55 au55 au55
ngog5 ngog5 ng og5
ngoi11 ngoi11 ng oi11
ngoi55 ngoi55 ng oi55
ngong55 ngong55 ng ong55
ngu55 ngu55 ng u55
nguan11 nguan11 ng uan11
ngui11 ngui11 ng ui11
ni11 ni11 n i11
niau24 niau24 n iau24
no11 no11 n o11
no24 no24 n o24
no31 no31 n o31
no55 no55 n o55
non24 non24 n on24
non31 non31 n on31
non55 non55 n on55
nong11 nong11 n ong11
nong24 nong24 n ong24
nong55 nong55 n ong55
nu11 nu11 n u11
nu31 nu31 n u31
nug2 nug2 n ug2
nug5 nug5 n ug5
nui55 nui55 n ui55
nun55 nun55 n un55
nung11 nung11 n ung11
nung24 nung24 n ung24
nung31 nung31 n ung31
nung55 nung55 n ung55
o11 o11 o11
o24 o24 o24
o31 o31 o31
o55 o55 o55
og2 og2 og2
oi24 oi24 oi24
oi55 oi55 oi55
on24 on24 on24
on55 on55 on55
ong24 ong24 ong24
ong31 ong31 ong31
ong55 ong55 ong55
pa11 pa11 p a11
pa24 pa24 p a24
pa31 pa31 p a31
pa55 pa55 p a55
pad2 pad2 p ad2
pad5 pad5 p ad5
pag5 pag5 p ag5
pai11 pai11 p ai11
pai55 pai55 p ai55
pan11 pan11 p an11
pan24 pan24 p an24
pan55 pan55 p an55
pang11 pang11 p ang11
pang24 pang24 p ang24
pang55 pang55 p ang55
pau11 pau11 p au11
pau24 pau24 p au24
pau55 pau55 p au55
ped5 ped5 p ed5
pen11 pen11 p en11
peu11 peu11 p eu11
peu24 peu24 p eu24
peu31 peu31 p eu31
peu55 peu55 p eu55
pi11 pi11 p i11
pi24 pi24 p i24
pi31 pi31 p i31
pi55 pi55 p i55
piag2 piag2 p iag2
piang11 piang11 p iang11
piang24 piang24 p iang24
piang55 piang55 p iang55
pid2 pid2 p id2
pied2 pied2 p ied2
pied5 pied5 p ied5
pien11 pien11 p ien11
pien24 pien24 p ien24
pien31 pien31 p ien31
pien55 pien55 p ien55
pin11 pin11 p in11
pin24 pin24 p in24
pin31 pin31 p in31
pin55 pin55 p in55
piog5 piog5 p iog5
piu55 piu55 p iu55
po11 po11 p o11
po24 po24 p o24
po55 po55 p o55
pog2 pog2 p og2
pog5 pog5 p og5
poi11 poi11 p oi11
poi24 poi24 p oi24
poi55 poi55 p oi55
pon24 pon24 p on24
pong11 pong11 p ong11
pong24 pong24 p ong24
pong31 pong31 p ong31
pong55 pong55 p ong55
pu11 pu11 p u11
pu24 pu24 p u24
pu31 pu31 p u31
pu55 pu55 p u55
pud2 pud2 p ud2
pug2 pug2 p ug2
pug5 pug5 p ug5
pui55 pui55 p ui55
pun11 pun11 p un11
pun24 pun24 p un24
pun55 pun55 p un55
pung11 pung11 p ung11
pung24 pung24 p ung24
pung55 pung55 p ung55
qi11 qi11 q i11
qi24 qi24 q i24
qi31 qi31 q i31
qi55 qi55 q i55
qia11 qia11 q ia11
qia24 qia24 q ia24
qia55 qia55 q ia55
qiab5 qiab5 q iab5
qiag2 qiag2 q iag2
qiag5 qiag5 q iag5
qiam11 qiam11 q iam11
qiam24 qiam24 q iam24
qiam55 qiam55 q iam55
qiang11 qiang11 q iang11
qiang24 qiang24 q iang24
qiang31 qiang31 q iang31
qiang55 qiang55 q iang55
qiau11 qiau11 q iau11
qiau24 qiau24 q iau24
qib5 qib5 q ib5
qid2 qid2 q id2
qid5 qid5 q id5
qied2 qied2 q ied2
qied5 qied5 q ied5
qien11 qien11 q ien11
qien24 qien24 q ien24
qien31 qien31 q ien31
qien55 qien55 q ien55
qim11 qim11 q im11
qin11 qin11 q in11
qin24 qin24 q in24
qin31 qin31 q in31
qin55 qin55 q in55
qiog2 qiog2 q iog2
qion11 qion11 q ion11
qion31 qion31 q ion31
qiong24 qiong24 q iong24
qiong31 qiong31 q iong31
qiong55 qiong55 q iong55
qiu11 qiu11 q iu11
qiu24 qiu24 q iu24
qiu31 qiu31 q iu31
qiu55 qiu55 q iu55
qiug2 qiug2 q iug2
qiung11 qiung11 q iung11
sa11 sa11 s a11
sa24 sa24 s a24
sa31 sa31 s a31
sa55 sa55 s a55
sab2 sab2 s ab2
sab5 sab5 s ab5
sad2 sad2 s ad2
sad5 sad5 s ad5
sag2 sag2 s ag2
sag5 sag5 s ag5
sai11 sai11 s ai11
sai24 sai24 s ai24
sai31 sai31 s ai31
sai55 sai55 s ai55
sam11 sam11 s am11
sam24 sam24 s am24
sam31 sam31 s am31
san24 san24 s an24
san31 san31 s an31
san55 san55 s an55
sang11 sang11 s ang11
sang24 sang24 s ang24
sang31 sang31 s ang31
sang55 sang55 s ang55
sau11 sau11 s au11
sau24 sau24 s au24
sau55 sau55 s au55
se11 se11 s e11
se24 se24 s e24
se31 se31 s e31
se55 se55 s e55
seb2 seb2 s eb2
sed2 sed2 s ed2
sem24 sem24 s em24
sem55 sem55 s em55
sen11 sen11 s en11
sen24 sen24 s en24
sen55 sen55 s en55
seu11 seu11 s eu11
seu24 seu24 s eu24
seu31 seu31 s eu31
seu55 seu55 s eu55
sii11 sii11 s ii11
sii24 sii24 s ii24
sii31 sii31 s ii31
sii55 sii55 s ii55
siib2 siib2 s iib2
siib5 siib5 s iib5
siid2 siid2 s iid2
siid5 siid5 s iid5
siim31 siim31 s iim31
siin11 siin11 s iin11
siin24 siin24 s iin24
siin55 siin55 s iin55
so11 so11 s o11
so24 so24 s o24
so31 so31 s o31
so55 so55 s o55
sod2 sod2 s od2
sod5 sod5 s od5
sog2 sog2 s og2
sog5 sog5 s og5
soi24 soi24 s oi24
soi31 soi31 s oi31
soi55 soi55 s oi55
son11 son11 s on11
son24 son24 s on24
son55 son55 s on55
song11 song11 s ong11
song24 song24 s ong24
song31 song31 s ong31
song55 song55 s ong55
su11 su11 s u11
su24 su24 s u24
su31 su31 s u31
su55 su55 s u55
sud5 sud5 s ud5
sug2 sug2 s ug2
sug5 sug5 s ug5
sui11 sui11 s ui11
sui24 sui24 s ui24
sui31 sui31 s ui31
sui55 sui55 s ui55
sun11 sun11 s un11
sun24 sun24 s un24
sun31 sun31 s un31
sun55 sun55 s un55
sung24 sung24 s ung24
sung31 sung31 s ung31
sung55 sung55 s ung55
ta24 ta24 t a24
ta55 ta55 t a55
tab2 tab2 t ab2
tab5 tab5 t ab5
tad2 tad2 t ad2
tad5 tad5 t ad5
tag2 tag2 t ag2
tag5 tag5 t ag5
tai11 tai11 t ai11
tai24 tai24 t ai24
tai31 tai31 t ai31
tai55 tai55 t ai55
tam11 tam11 t am11
tam24 tam24 t am24
tam31 tam31 t am31
tam55 tam55 t am55
tan11 tan11 t an11
tan24 tan24 t an24
tan31 tan31 t an31
tan55 tan55 t an55
tang11 tang11 t ang11
tang24 tang24 t ang24
te24 te24 t e24
teb5 teb5 t eb5
ted2 ted2 t ed2
ted5 ted5 t ed5
ten11 ten11 t en11
ten24 ten24 t en24
ten31 ten31 t en31
ten55 ten55 t en55
teu11 teu11 t eu11
teu24 teu24 t eu24
teu31 teu31 t eu31
teu55 teu55 t eu55
ti11 ti11 t i11
ti24 ti24 t i24
ti31 ti31 t i31
ti55 ti55 t i55
tiab2 tiab2 t iab2
tiab5 tiab5 t iab5
tiam11 tiam11 t iam11
tiam24 tiam24 t iam24
tiam31 tiam31 t iam31
tiang24 tiang24 t iang24
tiau11 tiau11 t iau11
tiau24 tiau24 t iau24
tiau31 tiau31 t iau31
tiau55 tiau55 t iau55
tid5 tid5 t id5
tied2 tied2 t ied2
tied5 tied5 t ied5
tien11 tien11 t ien11
tien24 tien24 t ien24
tien55 tien55 t ien55
tin11 tin11 t in11
tin24 tin24 t in24
tin55 tin55 t in55
tiong55 tiong55 t iong55
tiu31 tiu31 t iu31
to11 to11 t o11
to24 to24 t o24
to31 to31 t o31
to55 to55 t o55
tod2 tod2 t od2
tod5 tod5 t od5
tog2 tog2 t og2
tog5 tog5 t og5
toi11 toi11 t oi11
toi24 toi24 t oi24
toi55 toi55 t oi55
ton11 ton11 t on11
ton24 ton24 t on24
ton55 ton55 t on55
tong11 tong11 t ong11
tong24 tong24 t ong24
tong55 tong55 t ong55
tu11 tu11 t u11
tu31 tu31 t u31
tu55 tu55 t u55
tud5 tud5 t ud5
tug5 tug5 t ug5
tui24 tui24 t ui24
tui31 tui31 t ui31
tui55 tui55 t ui55
tun11 tun11 t un11
tun24 tun24 t un24
tun55 tun55 t un55
tung11 tung11 t ung11
tung24 tung24 t ung24
tung31 tung31 t ung31
tung55 tung55 t ung55
va11 va11 v a11
va24 va24 v a24
va31 va31 v a31
va55 va55 v a55
vad2 vad2 v ad2
vad5 vad5 v ad5
vag2 vag2 v ag2
vag5 vag5 v ag5
vai24 vai24 v ai24
van11 van11 v an11
van24 van24 v an24
van31 van31 v an31
van55 van55 v an55
vang11 vang11 v ang11
vang31 vang31 v ang31
vang55 vang55 v ang55
ve31 ve31 v e31
ve55 ve55 v e55
vi11 vi11 v i11
vi24 vi24 v i24
vi31 vi31 v i31
vi55 vi55 v i55
vo11 vo11 v o11
vo24 vo24 v o24
vo31 vo31 v o31
vog2 vog2 v og2
vog5 vog5 v og5
voi24 voi24 v oi24
voi55 voi55 v oi55
von31 von31 v on31
von55 von55 v on55
vong11 vong11 v ong11
vong24 vong24 v ong24
vong31 vong31 v ong31
vong55 vong55 v ong55
vu11 vu11 v u11
vu24 vu24 v u24
vu31 vu31 v u31
vu55 vu55 v u55
vud2 vud2 v ud2
vud5 vud5 v ud5
vug2 vug2 v ug2
vun11 vun11 v un11
vun24 vun24 v un24
vun31 vun31 v un31
vun55 vun55 v un55
xi11 xi11 x i11
xi24 xi24 x i24
xi31 xi31 x i31
xi55 xi55 x i55
xia24 xia24 x ia24
xia31 xia31 x ia31
xia55 xia55 x ia55
xiab2 xiab2 x iab2
xiab5 xiab5 x iab5
xiag2 xiag2 x iag2
xiang11 xiang11 x iang11
xiang24 xiang24 x iang24
xiang31 xiang31 x iang31
xiang55 xiang55 x iang55
xiau11 xiau11 x iau11
xiau55 xiau55 x iau55
xib2 xib2 x ib2
xib5 xib5 x ib5
xid2 xid2 x id2
xid5 xid5 x id5
xied2 xied2 x ied2
xied5 xied5 x ied5
xien24 xien24 x ien24
xien31 xien31 x ien31
xien55 xien55 x ien55
xim24 xim24 x im24
xim55 xim55 x im55
xin55 xin55 x in55
xio11 xio11 x io11
xio55 xio55 x io55
xiog2 xiog2 x iog2
xiog5 xiog5 x iog5
xiong11 xiong11 x iong11
xiong24 xiong24 x iong24
xiong31 xiong31 x iong31
xiong55 xiong55 x iong55
xiu11 xiu11 x iu11
xiu24 xiu24 x iu24
xiu31 xiu31 x iu31
xiu55 xiu55 x iu55
xiug2 xiug2 x iug2
xiug5 xiug5 x iug5
xiung55 xiung55 x iung55
za24 za24 z a24
za31 za31 z a31
za55 za55 z a55
zab2 zab2 z ab2
zab5 zab5 z ab5
zad2 zad2 z ad2
zad5 zad5 z ad5
zag2 zag2 z ag2
zag5 zag5 z ag5
zai11 zai11 z ai11
zai24 zai24 z ai24
zai31 zai31 z ai31
zai55 zai55 z ai55
zam24 zam24 z am24
zam31 zam31 z am31
zam55 zam55 z am55
zan24 zan24 z an24
zan31 zan31 z an31
zan55 zan55 z an55
zang24 zang24 z ang24
zang31 zang31 z ang31
zang55 zang55 z ang55
zau24 zau24 z au24
zau31 zau31 z au31
zau55 zau55 z au55
ze11 ze11 z e11
ze24 ze24 z e24
ze31 ze31 z e31
ze55 ze55 z e55
zeb2 zeb2 z eb2
zeb5 zeb5 z eb5
zed2 zed2 z ed2
zem24 zem24 z em24
zem31 zem31 z em31
zen24 zen24 z en24
zen55 zen55 z en55
zeu24 zeu24 z eu24
zeu31 zeu31 z eu31
zeu55 zeu55 z eu55
zii24 zii24 z ii24
zii31 zii31 z ii31
zii55 zii55 z ii55
ziib2 ziib2 z iib2
ziid2 ziid2 z iid2
ziim24 ziim24 z iim24
ziim31 ziim31 z iim31
ziim55 ziim55 z iim55
ziin24 ziin24 z iin24
ziin31 ziin31 z iin31
ziin55 ziin55 z iin55
zo11 zo11 z o11
zo24 zo24 z o24
zo31 zo31 z o31
zo55 zo55 z o55
zod2 zod2 z od2
zod5 zod5 z od5
zog2 zog2 z og2
zoi11 zoi11 z oi11
zoi24 zoi24 z oi24
zoi55 zoi55 z oi55
zon24 zon24 z on24
zon31 zon31 z on31
zon55 zon55 z on55
zong24 zong24 z ong24
zong31 zong31 z ong31
zong55 zong55 z ong55
zu24 zu24 z u24
zu31 zu31 z u31
zu55 zu55 z u55
zud2 zud2 z ud2
zud5 zud5 z ud5
zug2 zug2 z ug2
zug5 zug5 z ug5
zui24 zui24 z ui24
zui31 zui31 z ui31
zui55 zui55 z ui55
zun24 zun24 z un24
zun31 zun31 z un31
zun55 zun55 z un55
zung24 zung24 z ung24
zung31 zung31 z ung31
zung55 zung55 z ung55
﻿xin24 ﻿xin24 x in24
